ID,CODE,VALUE
140,"CMskdy","Dystric Skeletic Cambisol"
141,"CMskeu","Eutric Skeletic Cambisol"
142,"CMskkkdy","Dystric Akroskeletic Skeletic Cambisol"
143,"CMskkkeu","Eutric Akroskeletic Skeletic Cambisol"
144,"CMvr","Vertic Cambisol"
145,"CMvrkk","Akroskeletic Vertic Cambisol"
146,"CMvrsk","Skeletic Vertic Cambisol"
147,"CMyeca","Calcaric Yermic Cambisol"
148,"CR","Cryosol"
149,"CRan","Andic Cryosol"
150,"CRanskkk","Akroskeletic Skeletic Andic Cryosol"
151,"CRcm","Cambic Crysosol"
152,"CRcmkk","Akroskeletic Cambic Cryosol"
153,"CRgl","Gleyic Cryosol"
154,"CRglkk","Akroskeletic Gleyic Crysol"
155,"CRha","Haplic Cryosol"
156,"CRkk","Akroskeletic Cryosol"
157,"CRle","Leptic Cryosol"
158,"CRlecm","Cambic Leptic Cryosol"
159,"CRlehi","Histic Leptic Cryosol"
160,"CRlesk","Skeletic Leptic Cryosol"
161,"CRralesk","Skeletic Leptic Reducaquic Cryosol"
162,"CRrt","Retic Cryosol"
163,"CRsd","Spodic Cryosol"
164,"CRsk","Skeletic Cryosol"
165,"CRsz","Salic Cryosol"
166,"DU","Durisol"
167,"DUca","Calcaric Durisol"
168,"DUcagl","Gleyic Calcaric Durisol"
169,"DUlv","Luvic Durisol"
170,"DUlx","Lixic Durisol"
171,"DUpc","Petrocalcic Durisol"
172,"DUvr","Vertic Durisol"
173,"FL","Fluvisol"
174,"FLca","Calcaric Fluvisol"
175,"FLcakk","Akroskeletic Calcaric Fluvisol"
176,"FLcaqs","Protosodic Calcaric  Fluvisol"
177,"FLdy","Dystric Fluvisol"
178,"FLeu","Eutric Fluvisol"
179,"FLeuqs","Protosodic Eutric Fluvisol"
180,"FLkkca","Calcaric Akroskeletic Fluvisol"
181,"FLkkca","Calcaric Skeletic Fluvisol"
182,"FLkkca","Calcaric Akroskeletic Fluvisol"
183,"FLkkeu","Eutric Akroskeletic Fluvisol"
184,"FLleca","Calcaric Leptic Fluvisol"
185,"FLleeu","Eutric Leptic Fluvisol"
186,"FLleskca","Calcaric Skeletic Leptic Fluvisol"
187,"FLskca","Calcaric Skeletic Fluvisol"
188,"FLskdy","Dystric Skeletic Fluvisol"
189,"FLskeu","Eutric Skeletic Fluvisol"
190,"FLskkkdy","Dystric Akroskeletic Skeletic Fluvisol"
191,"FLskkkeu","Eutric Akroskeletic Skeletic Fluvisol"
192,"FR","Ferralsol"
193,"FRgr","Geric Ferralsol"
194,"FRha","Haplic Ferralsol"
195,"FRkk","Akroskeletic Ferralsol"
196,"FRro","Rhodic Ferralsol"
197,"FRrokk","Akroskeletic Rhodic Ferralsol"
198,"FRsk","Skeletic Ferralsol"
199,"FRum","Umbric Ferralsol"
200,"FRxa","Xanthic Ferralsol"
201,"FRxakk","Akroskeletic Xanthic Ferralsol"
202,"FRxask","Skeletic Xanthic Ferralsol"
203,"GG","Glaciers"
204,"GL","Gleysol"
205,"GLan","Andic Gleysol"
206,"GLar","Arenic Gleysol"
207,"GLcc","Calcic Gleysol"
208,"GLcckk","Akroskeletic Calcic Gleysol"
209,"GLccqs","Protosodic Calcic Gleysol"
210,"GLdy","Dystric Gleysol"
211,"GLdykk","Akroskeletic Dystric Gleysol"
212,"GLeu","Eutric Gleysol"
213,"GLeukk","Akroskeletic Eutric Gleysol"
214,"GLeuqs","Protosodic Eutric Gleysol"
215,"GLeuskkk","Akroskeletic Skeletic Eutric Gleysol"
216,"GLircc","Irragric Calcic Gleysol"
217,"GLireu","Irragric Eutric Gleysol"
218,"GLirsf","Sulfidic Irragric Gleysol"
219,"GLlv","Luvic Gypsisol"
220,"GLmo","Mollic Gleysol"
221,"GLmokk","Akroskeletic Mollic Gleysol"
222,"GLsf","Sulfidic Gleysol"
223,"GLti","Thionic Gleysol"
224,"GLum","Umbric Gleysol"
225,"GLumkk","Akroskeletic Umbric Gleysol"
226,"GY","Gypsisol"
227,"GYcc","Calcic Gypsisol"
228,"GYha","Haplic Gypsisol"
229,"GYkk","Akroskeletic Gypsisol"
230,"GYkkcc","Calcic Akroskeletic Gypsisol"
231,"GYle","Leptic Gyspsisol"
232,"GYlelv","Luvic Leptic Gypsisols"
233,"GYlelvkk","Akroskeletic Luvic Leptic  Gypsisol"
234,"GYlvye","Yermic Luvic Gypsisol"
235,"GYpt","Petric Gypsisol"
236,"GYptkk","Akroskeletic Petric Gypsisol"
237,"Gyptle","Leptic Petric Gypsisol"
238,"GYptye","Yermic Petric Gypsisol"
239,"GYsk","Skeletic Gypsisol"
240,"GYskcc","Calcic Skeletic Gypsisol"
241,"GYye","Yermic Gypsisol"
242,"GYyecc","Calcic Yermic Gypsiol"
243,"HS","Histosol"
244,"HScr","Cryic Histosol"
245,"HSfi","Fibric Histosol"
246,"HSfikk","Akroskeletic Fibric Histosol"
247,"HSfile","Leptic Fibric Histosol"
248,"HSfo","Folic Histosol"
249,"HSkk","Akroskeletic Histosol"
250,"HSsa","Sapric Histosol"
251,"HSsask","Skeletic Sapric Histosol"
252,"HSti","Thionic Histosol"
