SYMBOL,CODE,VALUE
174,"SNy","Gypsic Solonetz"
183,"ST","Salt flats"
189,"UR","Urban, mining, etc."
177,"VR","Vertisols"
179,"VRd","Dystric Vertisols"
178,"VRe","Eutric Vertisols"
180,"VRk","Calcic Vertisols"
181,"VRy","Gypsic Vertisols"
186,"WR","Water bodies"
185,"WRs","Inland water, salt"
